Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 30.36      0.17     0.17        1   170.01   339.95  Image::convolution(Filter const&)
  9.82      0.23     0.06 23592962     0.00     0.00  std::vector<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > >::operator[](unsigned long)
  7.14      0.27     0.04   333234     0.00     0.00  stbiw__zlib_bitrev(int, int)
  7.14      0.31     0.04        1    40.00   110.01  stbi_zlib_compress
  6.25      0.34     0.04 23592960     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::operator[](unsigned long)
  5.36      0.37     0.03  1571325     0.00     0.00  stbiw__paeth(int, int, int)
  3.57      0.39     0.02 23592964     0.00     0.00  std::vector<std::vector<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > >, std::allocator<std::vector<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > > > >::operator[](unsigned long)
  3.57      0.41     0.02 19660801     0.00     0.00  std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::operator[](unsigned long) const
  3.57      0.43     0.02 19660800     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long) const
  3.57      0.45     0.02  3338460     0.00     0.00  stbiw__zlib_countm(unsigned char*, unsigned char*, int)
  3.57      0.47     0.02   782092     0.00     0.00  stbi__zhuffman_decode(stbi__zbuf*, stbi__zhuffman*)
  3.57      0.49     0.02        4     5.00     5.00  std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::~vector()
  1.79      0.50     0.01   380422     0.00     0.00  stbiw__zhash(unsigned char*)
  1.79      0.51     0.01    21536     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >::base() const
  1.79      0.52     0.01     7699     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_M_deallocate(unsigned char*, unsigned long)
  1.79      0.53     0.01     3072     0.00     0.01  stbiw__encode_png_line(unsigned char*, int, int, int, int, int, int, signed char*)
  1.79      0.54     0.01        1    10.00   173.68  Image::export_image(FileType const&)
  1.79      0.55     0.01        1    10.00    10.00  std::vector<unsigned char, std::allocator<unsigned char> >::vector(unsigned long, unsigned char const&, std::allocator<unsigned char> const&)
  1.79      0.56     0.01        1    10.00   160.01  stbi_write_png_to_mem
  0.00      0.56     0.00   706544     0.00     0.00  stbi__zeof(stbi__zbuf*)
  0.00      0.56     0.00   473758     0.00     0.00  stbi__zget8(stbi__zbuf*)
  0.00      0.56     0.00   464031     0.00     0.00  stbiw__zlib_flushf(unsigned char*, unsigned int*, int*)
  0.00      0.56     0.00   232858     0.00     0.00  stbi__fill_bits(stbi__zbuf*)
  0.00      0.56     0.00   164352     0.00     0.00  stbi__paeth(int, int, int)
  0.00      0.56     0.00    21536     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >::__normal_iterator(unsigned char const* const&)
  0.00      0.56     0.00    21536     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > > std::__miter_base<__gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > > >(__gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >)
  0.00      0.56     0.00    21536     0.00     0.00  unsigned char const* std::__niter_base<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >(__gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >)
  0.00      0.56     0.00    21170     0.00     0.00  stbi__bit_reverse(int, int)
  0.00      0.56     0.00    21170     0.00     0.00  stbi__bitreverse16(int)
